invoiceno,stockcode,description,quantity,invoicedate,unitprice,customerid,country,totalcost
555200,71459,HANGING JAM JAR T-LIGHT HOLDER,24,2011-06-01 12:05:00,0.85,17315.0,United Kingdom,20.4
554974,21128,GOLD FISHING GNOME,4,2011-05-27 17:14:00,6.95,14031.0,United Kingdom,27.8
550972,21086,SET/6 RED SPOTTY PAPER CUPS,4,2011-04-21 17:05:00,0.65,14031.0,United Kingdom,2.6
576652,22812,PACK 3 BOXES CHRISTMAS PANETTONE,3,2011-11-16 10:39:00,1.95,17198.0,United Kingdom,5.85
546157,22180,RETROSPOT LAMP,2,2011-03-10 08:40:00,9.95,13502.0,United Kingdom,19.9
576200,82482,WOODEN PICTURE FRAME WHITE FINISH,2,2011-11-14 12:14:00,2.95,15572.0,United Kingdom,5.9
577076,22614,PACK OF 12 SPACEBOY TISSUES,12,2011-11-17 15:08:00,0.39,14362.0,United Kingdom,4.68
568909,22596,CHRISTMAS STAR WISH LIST CHALKBOARD,12,2011-09-29 13:38:00,1.25,16818.0,United Kingdom,15.0
578072,21109,LARGE CAKE TOWEL CHOCOLATE SPOTS,1,2011-11-22 16:02:00,6.75,17759.0,United Kingdom,6.75
560491,23297,SET 40 HEART SHAPE PETIT FOUR CASES,2,2011-07-19 10:51:00,1.65,12415.0,Australia,3.3
545721,82484,WOOD BLACK BOARD ANT WHITE FINISH,1,2011-03-07 10:52:00,7.9,15039.0,United Kingdom,7.9
573399,21108,FAIRY CAKE FLANNEL ASSORTED COLOUR,18,2011-10-30 15:35:00,0.79,13949.0,United Kingdom,14.22
551954,22799,SWEETHEART WIRE FRUIT BOWL,1,2011-05-05 12:13:00,8.5,14515.0,United Kingdom,8.5
563745,22115,METAL SIGN EMPIRE TEA,12,2011-08-19 09:38:00,0.79,15159.0,United Kingdom,9.48
540418,22161,HEART DECORATION RUSTIC HANGING ,5,2011-01-07 11:04:00,0.81,Unknown,United Kingdom,4.050000000000001
